,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
109,rj19,,В течение последних 12 месяцев Вас отправляла администрация в вынужденный неоплачиваемый отпуск? ,In the last 12 months you sent the administration a forced unpaid leave?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,8986,12767
110,rj197,,У Вас есть банковская пластиковая карта? ,Do you have a Credit card?,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,17954,3799
111,rj198.1,,"Вы получили пластиковые карты для перечисления на нее заработной платы; пенсии; стипендии; субсидии; пособия *В 2013 году в формулировку вопроса добавлены слова ""субсидии; пособия"" ","You got the cards to transfer her salary; pensions; scholarships; subsidies; benefits * In 2013, in the wording of the question, the words ""subsidies, benefits""",Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,10185,11568
112,rj198.2,,Вы получили пластиковые карты для того; чтобы пользоваться деньгами с вкладов в банках ,You got the cards in order; to use the money from deposits in banks,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,10185,11568
113,rj198.3,,Вы получили пластиковые карты для того; чтобы получить кредит в банке ,You got the cards in order; to get a bank loan,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,10185,11568
114,rj199,,"Как Вы пользуетесь своими  банковскими пластиковыми картами? * В 2013 году введен новый вариант ответа 99999996 ""НЕ ПОЛЬЗУЕТСЯ В НАСТОЯЩЕЕ ВРЕМЯ"". В 2012 ГОДУ этим кодом были закодированы ответы ""ДРУГОЕ""; которые по смыслу практически полностью совпадали с вариантом ""НЕ ПОЛЬЗУЕТСЯ СВОИМИ БАНКОВСКИМИ КАРТАМИ"" ","How do you use your bank cards? * In 2013, introduced a new variant of the answer 99999996 ""Do not use now"". In 2012, this code has been coded answers ""other""; in the sense that almost completely coincided with the option ""do not use their bank cards""","И для того, и для другого | Только чтобы снимать деньги со счета | НЕ ПОЛЬЗУЕТСЯ В НАСТОЯЩЕЕ ВРЕМЯ | Только чтобы оплачивать товары и услуги | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА",10185,11568
115,rj200,,Вы собираетесь взять кредит в ближайшие 12 месяцев? ,You're going to take out a loan in the next 12 months?,Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Да | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,17954,3799
116,rj201.01,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ ЖИЛЬЯ (КВАРТИРЫ; ДОМА) ,"For what purpose you are going to take out a loan in the next 12 months? The purchase of housing (apartment, home)","НА ПОКУПКУ ЖИЛЬЯ (КВАРТИРЫ, ДОМА) | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",133,21620
117,rj201.02,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ ДРУГОЙ НЕДВИЖИМОСТИ - ЗЕМЛИ; ДАЧИ; ГАРАЖА ,For what purpose you are going to take out a loan in the next 12 months? BUY ANOTHER Real Estate - Land; COTTAGE; GARAGE,"НА ПОКУПКУ ДРУГОЙ НЕДВИЖИМОСТИ - ЗЕМЛИ, ДАЧИ, ГАРАЖА",10,21743
118,rj201.03,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ АВТОМОБИЛЯ ,For what purpose you are going to take out a loan in the next 12 months? To buy a car,НА ПОКУПКУ АВТОМОБИЛЯ,114,21639
119,rj201.04,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ПОКУПКУ БЫТОВОЙ ТЕХНИКИ; МЕБЕЛИ И Т.Д. ,"For what purpose you are going to take out a loan in the next 12 months? To purchase household appliances; Furniture, etc.","НА ПОКУПКУ БЫТОВОЙ ТЕХНИКИ, МЕБЕЛИ И Т.Д",90,21663
120,rj201.05,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ОПЛАТУ ОБРАЗОВАНИЯ (ВАШЕГО ИЛИ ДЕТЕЙ) ,For what purpose you are going to take out a loan in the next 12 months? To pay for education (YOUR CHILDREN OR),НА ОПЛАТУ ОБРАЗОВАНИЯ (ВАШЕГО ИЛИ ДЕТЕЙ),7,21746
121,rj201.06,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ЛЕЧЕНИЕ ,For what purpose you are going to take out a loan in the next 12 months? FOR TREATMENT,НА ЛЕЧЕНИЕ,4,21749
122,rj201.07,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ОТДЫХ ,For what purpose you are going to take out a loan in the next 12 months? to rest,НА ОТДЫХ,25,21728
123,rj201.08,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ТЕКУЩИЕ РАСХОДЫ ,For what purpose you are going to take out a loan in the next 12 months? For current expenses,НА ТЕКУЩИЕ РАСХОДЫ,48,21705
124,rj201.09,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ВОЗВРАТ ДОЛГОВ ,For what purpose you are going to take out a loan in the next 12 months? RETURN DEBT,НА ВОЗВРАТ ДОЛГОВ,11,21742
125,rj201.10,,На какие цели Вы собираетесь взять кредит в ближайшие 12 месяцев? НА ЧТО-ТО ДРУГОЕ ,For what purpose you are going to take out a loan in the next 12 months? FOR SOMETHING ELSE,НА ЧТО-ТО ДРУГОЕ,70,21683
126,rj21.3,,Является ли производство; на котором Вы работаете; вредным или опасным; т.е. дающим Вам право на досрочное назначение трудовой пенсии; на дополнительные выплаты или льготы? ,Is production; where you work; harmful or dangerous; ie giving you the right to early appointment of labor pension; additional payments or benefits?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8986,12767
127,rj21a,,В течение последних 12 месяцев Вы были в оплачиваемом отпуске? ,"During the past 12 months, have you been in paid vacation?",Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,8986,12767
128,rj21b,,Сколько всего календарных дней продолжался или продолжается этот отпуск? ,How many days continued or resumed this holiday?,      28 |       14 |       30 |       42 |       36 |       24,6040,15713
129,rj22,,Представьте себе не очень приятную картину: предприятие; где Вы работаете; по каким-то причинам закроется; и все работники будут уволены. Насколько Вы уверены в том; что сможете найти работу не хуже той; на которой работаете сейчас? ,"Imagine not very pleasant picture: the enterprise; where you work; for whatever reasons, will close; and all employees will be laid off. How confident are you that; that will be able to find a job is not worse than that; on which work now?","Скорее уверены | Не очень уверены | И да, и нет | Совсем не уверены | Полностью уверены | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",8986,12767
130,rj23,,Является государство владельцем или совладельцем Вашего предприятия; организации? ,The State is the owner or co-owner of your company; organization?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8986,12767
131,rj24,,Являются владельцами или совладельцами Вашего предприятия; организации иностранные фирмы или иностранные частные лица? ,Is the owner or co-owners of your company; organization of foreign companies or foreign individuals?,Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Да | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,8986,12767
132,rj25,,Являются владельцами или совладельцами Вашего предприятия; организации какие-то российские частные лица; коллектив предприятия или российские частные фирмы? ,"Is the owner or co-owners of your company; organization of any Russian private person; collective enterprises, or Russian private firms?",Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,8986,12767
133,rj259,,Если на момент оформления пенсии у Вас был стаж; который давал право на досрочное оформление пенсии; то сколько полных лет он составлял? ,If at the time of registration of the pension you had experience; which gave the right to early retirement clearance; how many full years he was?,1.0e+08 | 2.5e+01 | 2.0e+01 | 3.0e+01 | 1.0e+01 | 1.5e+01,5684,16069
134,rj26,,А Вы лично являетесь владельцем или совладельцем предприятия; на котором Вы работаете? ,Do you personally own or co-owner of the company; where do you work?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,8986,12767
135,rj260,,Скажите; пожалуйста; Вы владеете каким-либо иностранным языком; помимо языков бывших республик СССР? ,tell me; please; You own some foreign language; than the languages of the former Soviet republics?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,17954,3799
