"","varcode","nro","russian","english"
"183","rj38",134,"Сколько часов Вы фактически отработали на этой работе в течение последних 30 дней?","How many hours you actually worked at this job in the last 30 days?"
"184","rj39",135,"На той работе; о которой мы сейчас говорим; в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты; премии; дотаций; пособий; доходов; прибыли?","On the work; about which we are talking; in the last 30 days you get some amount of money as salary; Prize; subsidies; benefits; income; profits?"
"185","rj40",136,"Сколько денег в течение последних 30 дней Вы получили на этой работе после вычета налогов? Если все или часть денег Вы получили не в рублях; а в иностранной валюте; переведите  все в рубли и назовите общую сумму","How much money in the last 30 days you got this job after taxes? If all or part of the money you received is not in rubles; and in foreign currency; turn all into rubles and name totaling"
"186","rj401.1a",318,"Вы посещаете социальную сеть Одноклассники?","You visit a social network Odnoklassniki?"
"187","rj401.1b",319,"Сколько лет Вы посещаете социальную сеть Одноклассники?","How many years have you visit a social network Odnoklassniki?"
"188","rj401.2a",320,"Вы посещаете социальную сеть Вконтакте?","You visit a social network Vkontakte?"
"189","rj401.2b",321,"Сколько лет Вы посещаете социальную сеть Вконтакте?","How many years have you visit a social network Vkontakte?"
"190","rj401.3a",322,"Вы посещаете социальную сеть Фейсбук?","You are visiting the social network Facebook?"
"191","rj401.3b",323,"Сколько лет Вы посещаете социальную сеть Фейсбук?","How many years have you visit a social network Facebook?"
"192","rj401.4a",324,"Вы посещаете социальную сеть Живой Журнал?","You visit a social network LiveJournal?"
"193","rj401.4b",325,"Сколько лет Вы посещаете социальную сеть Живой Журнал?","How many years have you visit a social network LiveJournal?"
